vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,3.903177e-10,4.999855,6.671661e-05,0.0006741141,1.2880484099999999e-09,0.4999855,-0.0,0.4999855,388172910.36444825
3.3,0.1,0.05,2.686109e-10,4.999859,0.0002615532,0.0001653493,8.8641597e-10,0.4999859,4.810195e-06,0.49999071019499997,564058779.5310141
5.0,0.1,0.0,1.614959e-10,4.999884,-0.0001223351,0.0004808854,8.074795e-10,0.4999884,-0.0,0.4999884,619196400.6516573
5.0,0.1,0.05,-3.784748e-11,4.999866,0.0001496661,5.184821e-05,-1.892374e-10,0.4999866,4.8908945e-06,0.4999914908945,0.0
12.0,0.1,0.0,1.354743e-10,4.999862,0.0004567373,3.551574e-05,1.6256916e-09,0.49998620000000005,0.0,0.49998620000000005,307552920.86149675
12.0,0.1,0.05,4.175667e-10,4.999862,0.0002215595,0.000297997,5.0108004e-09,0.49998620000000005,-3.821874999999999e-06,0.49998237812500007,99780940.81037433
