vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.03858e-05,4.999868,2.742248,3.30039,3.427314e-05,0.49998680000000006,-0.0,0.49998680000000006,1.2
3.3,0.1,0.05,2.059072e-05,4.999876,3.300074,3.300077,6.7949376e-05,0.4999876000000001,-1.4999999999876224e-07,0.4999874500000001,1.2
4.0,0.1,0.0,1.791115e-05,4.999875,3.999333,3.999656,7.16446e-05,0.49998750000000003,-0.0,0.49998750000000003,1.2
4.0,0.1,0.05,4.589121e-05,4.99987,4.000244,3.99972,0.00018356484,0.49998699999999996,2.6200000000020654e-05,0.5000131999999999,1.2
5.0,0.1,0.0,2.636043e-05,4.999872,4.524486,4.550098,0.00013180215,0.4999872,-0.0,0.4999872,1.2
5.0,0.1,0.05,1.991043e-05,4.999877,5.000381,5.000225,9.955215000000001e-05,0.4999877,7.799999999980045e-06,0.4999955,1.2
