vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,0.0003467122,4.99987,2.84022,3.300347,0.00114415026,0.49998699999999996,-0.0,0.49998699999999996,436.9941759223128
3.3,0.1,0.05,1.755154e-05,4.999866,3.300074,3.300097,5.792008199999999e-05,0.4999866,-1.1500000000053134e-06,0.49998545,8632.333255329302
5.0,0.1,0.0,1.520579e-05,4.999862,4.064591,4.086345,7.602895e-05,0.49998620000000005,-0.0,0.49998620000000005,6576.260753305156
5.0,0.1,0.05,0.0003559133,4.999863,4.999981,5.000008,0.0017795665,0.49998630000000005,-1.3500000000110646e-06,0.49998495000000004,280.95884587622885
12.0,0.1,0.0,0.00032411,4.999855,5.739643,7.988868,0.00388932,0.4999855,-0.0,0.4999855,128.55344893194697
12.0,0.1,0.05,0.4998539,4.999875,9.760295,9.765997,5.9982468,0.49998750000000003,-0.0002851000000000603,0.4997024,0.08330807595312682
