vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,-2.174046e-07,4.999869,2.753162,3.300379,-7.1743518e-07,0.49998690000000007,-0.0,0.49998690000000007,0.0
3.3,0.1,0.05,1.789271e-05,4.999874,3.300067,3.30009,5.9045942999999994e-05,0.4999874,-1.1500000000053134e-06,0.49998625,8467.749426916598
4.0,0.1,0.0,1.537607e-05,4.99987,4.000216,3.999941,6.150428e-05,0.49998699999999996,0.0,0.49998699999999996,8129.3041720023375
4.0,0.1,0.05,0.0001050014,4.999864,3.999877,3.999911,0.0004200056,0.4999864,-1.6999999999933735e-06,0.4999847,1190.423889586234
5.0,0.1,0.0,2.294376e-05,4.999871,4.747951,4.771451,0.0001147188,0.4999871,-0.0,0.4999871,4358.371077800674
5.0,0.1,0.05,2.051699e-05,4.999862,5.000364,5.000241,0.00010258494999999999,0.49998620000000005,6.150000000015865e-06,0.4999923500000001,4873.934724343095
