vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,4.159554e-10,4.999868,-0.001185516,0.0006718991,1.37265282e-09,0.49998680000000006,-0.0,0.49998680000000006,364248550.4819785
3.3,0.1,0.05,1.058649e-10,4.999879,0.01101983,0.004625316,3.4935416999999995e-10,0.49998790000000004,0.0003197257,0.5003076257000001,1432092897.8749564
5.0,0.1,0.0,-4.887488e-10,4.999866,0.002524065,0.001672459,-2.443744e-09,0.4999866,0.0,0.4999866,0.0
5.0,0.1,0.05,1.730441e-11,4.999871,0.001679929,0.001622437,8.652205000000001e-11,0.4999871,2.874599999999996e-06,0.4999899746,5778757838.030883
12.0,0.1,0.0,3.678271e-10,4.999867,0.001651751,1.644444e-05,4.4139252e-09,0.4999867,0.0,0.4999867,113274846.61498116
12.0,0.1,0.05,3.290618e-10,4.999882,-0.0001214092,0.001484702,3.9487416e-09,0.49998820000000005,-8.030556000000001e-05,0.49990789444000006,126599292.90891054
