vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.498282e-10,4.999881,6.114172e-05,0.0004743882,4.9443306e-10,0.49998810000000005,-0.0,0.49998810000000005,1011235171.046208
3.3,0.1,0.05,4.207233e-11,4.999881,0.0005184985,9.356668e-05,1.38838689e-10,0.49998810000000005,2.1246591000000003e-05,0.500009346591,3601368971.375119
5.0,0.1,0.0,2.648919e-10,4.999876,0.0005995007,-0.0002767576,1.3244595e-09,0.4999876000000001,0.0,0.4999876000000001,377503124.8596126
5.0,0.1,0.05,1.748051e-10,4.999878,0.0004534354,-0.0001093112,8.740255e-10,0.4999878,2.813733e-05,0.5000159373299999,572083923.5582943
12.0,0.1,0.0,2.532241e-10,4.999885,0.0006078859,-0.0006832431,3.0386892e-09,0.4999885,0.0,0.4999885,164540848.7317492
12.0,0.1,0.05,5.236274e-10,4.99987,0.0004139619,-0.0001093832,6.2835288e-09,0.49998699999999996,2.6167255e-05,0.500013167255,79575216.9155332
