vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,5.160504e-10,4.999859,7.769306e-05,0.0003435499,1.70296632e-09,0.4999859,-0.0,0.4999859,293597057.163174
3.3,0.1,0.05,2.67446e-10,4.999865,7.757191e-05,0.0005964894,8.825717999999999e-10,0.4999865,-2.5945874500000002e-05,0.4999605541255,566481451.2830571
5.0,0.1,0.0,-6.295194e-11,4.999876,-0.0003107736,0.0004690363,-3.1475969999999996e-10,0.4999876000000001,-0.0,0.4999876000000001,0.0
5.0,0.1,0.05,4.841254e-11,4.999857,1.760753e-05,0.0003694732,2.4206269999999997e-10,0.4999857000000001,-1.75932835e-05,0.4999681067165001,2065448773.051363
12.0,0.1,0.0,-1.451526e-11,4.999865,0.0003610482,0.0007194047,-1.7418312e-10,0.4999865,-0.0,0.4999865,0.0
12.0,0.1,0.05,3.388967e-10,4.999854,3.570471e-05,0.0004709456,4.066760400000001e-09,0.4999854,-2.17620445e-05,0.49996363795550003,122939044.5415717
