vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,3.636051e-10,4.999853,-9.549508e-05,0.0004349069,1.19989683e-09,0.4999853,-0.0,0.4999853,416690241.61018914
3.3,0.1,0.05,4.961919e-11,4.999866,0.000364465,-0.0001456345,1.63743327e-10,0.4999866,2.5504975000000002e-05,0.500012104975,3053633477.075985
5.0,0.1,0.0,9.74043e-11,4.999864,-7.622714e-05,0.0002360498,4.870215e-10,0.4999864,-0.0,0.4999864,1026620796.0018193
5.0,0.1,0.05,7.17018e-11,4.999857,-0.0007212728,0.0002235924,3.5850900000000003e-10,0.4999857000000001,-4.724326e-05,0.4999384567400001,1394493462.4793243
12.0,0.1,0.0,6.685058e-11,4.999859,-0.0002218252,0.000142245,8.022069600000001e-10,0.4999859,-0.0,0.4999859,623262979.4186776
12.0,0.1,0.05,3.351092e-10,4.99987,-0.0006711224,0.0003644574,4.0213104e-09,0.49998699999999996,-5.1778990000000006e-05,0.49993522101,124321470.1879268
