vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,0.1891369,4.999858,0.0001048179,3.234585,0.62415177,0.4999858,-0.0,0.4999858,0.8010644590497596
3.3,0.1,0.05,-0.05000077,4.999871,0.0001852966,3.313693,-0.165002541,0.4999871,-0.16567538517000002,0.33431171483,0.0
4.0,0.1,0.0,-0.05000074,4.999845,0.0003851118,4.000188,-0.20000296,0.4999845,-0.0,0.4999845,0.0
4.0,0.1,0.05,-0.05000057,4.999859,0.0003371037,4.013526,-0.20000228,0.4999859,-0.200659444815,0.299326455185,0.0
5.0,0.1,0.0,-0.05000063,4.999873,0.00107479,5.000416,-0.25000315,0.4999873,-0.0,0.4999873,0.0
5.0,0.1,0.05,-1.10145e-07,4.999857,0.00053876,5.000338,-5.50725e-07,0.4999857000000001,-0.249989962,0.24999573800000008,0.0
