vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,0.499939,4.999873,-5.127567e-05,0.0003719766,1.6497987,0.4999873,-0.0,0.4999873,0.30305957932928423
3.3,0.1,0.05,1.351878e-10,4.999871,-0.0008223756,-3.298536e-06,4.4611974e-10,0.4999871,-4.09538532e-05,0.4999461461468,1120654616.5090117
5.0,0.1,0.0,7.674476e-11,4.999869,0.0004108176,0.0004638443,3.837238e-10,0.49998690000000007,-0.0,0.49998690000000007,1302986418.877328
5.0,0.1,0.05,9.416103e-11,4.999874,9.007022e-05,0.0002510924,4.708051500000001e-10,0.4999874,-8.051109e-06,0.49997934889100004,1061966609.5220071
12.0,0.1,0.0,1.180498e-10,4.999855,0.000718158,-8.008948e-05,1.4165976000000001e-09,0.4999855,0.0,0.4999855,352948148.4367897
12.0,0.1,0.05,5.72773e-10,4.99988,-0.0005136193,0.0002021735,6.873276e-09,0.49998800000000004,-3.578964e-05,0.49995221036000004,72738561.69314313
