vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.092256e-05,4.999858,2.746349,3.300384,3.6044448e-05,0.4999858,-0.0,0.4999858,1.2
3.3,0.1,0.05,2.110058e-05,4.999882,3.300069,3.300086,6.9631914e-05,0.49998820000000005,-8.499999999855846e-07,0.49998735000000005,1.2
4.0,0.1,0.0,1.843132e-05,4.999875,3.985799,3.999851,7.372528e-05,0.49998750000000003,-0.0,0.49998750000000003,1.2
4.0,0.1,0.05,5.162245e-05,4.999883,4.000166,3.999805,0.0002064898,0.4999883,1.805000000001389e-05,0.50000635,1.2
5.0,0.1,0.0,3.020742e-05,4.999878,4.475876,4.499779,0.0001510371,0.4999878,-0.0,0.4999878,1.2
5.0,0.1,0.05,2.073145e-05,4.999874,5.000383,5.000286,0.00010365725,0.4999874,4.85000000001179e-06,0.49999225,1.2
