vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.304078e-10,4.99985,-0.0003785376,0.0006741357,4.3034573999999996e-10,0.49998500000000007,-0.0,0.49998500000000007,1161821655.3044074
3.3,0.1,0.05,-1.939495e-12,4.999869,-0.00076554,0.000614933,-6.4003335e-12,0.49998690000000007,-6.902365000000001e-05,0.49991787635000007,0.0
5.0,0.1,0.0,-4.96042e-10,4.999861,0.003212705,0.001995222,-2.48021e-09,0.49998610000000004,0.0,0.49998610000000004,0.0
5.0,0.1,0.05,-2.339884e-10,4.999873,0.001535685,0.001177594,-1.169942e-09,0.4999873,1.7904550000000005e-05,0.50000520455,0.0
12.0,0.1,0.0,-2.848588e-11,4.999867,-0.0004027241,-0.0001220344,-3.4183056e-10,0.4999867,-0.0,0.4999867,0.0
12.0,0.1,0.05,4.17999e-10,4.999864,-0.0007141539,-0.0009576085,5.0159879999999995e-09,0.4999864,1.2172730000000002e-05,0.49999857273,99680974.66142264
