vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.095932e-05,4.999881,2.745435,3.300382,3.6165756e-05,0.49998810000000005,-0.0,0.49998810000000005,1.2
3.3,0.1,0.05,2.116924e-05,4.999877,3.300065,3.300078,6.9858492e-05,0.4999877,-6.500000000020379e-07,0.49998705,1.2
4.0,0.1,0.0,1.841511e-05,4.999892,3.995543,3.999907,7.366044e-05,0.4999892,-0.0,0.4999892,1.2
4.0,0.1,0.05,5.004998e-05,4.999875,4.00032,3.999361,0.00020019992,0.49998750000000003,4.795000000001881e-05,0.50003545,1.2
5.0,0.1,0.0,2.987264e-05,4.999885,4.488086,4.512754,0.0001493632,0.4999885,-0.0,0.4999885,1.2
5.0,0.1,0.05,1.973442e-05,4.99988,5.000371,5.00016,9.86721e-05,0.49998800000000004,1.0550000000009164e-05,0.49999855000000004,1.2
