vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.923532e-10,4.999855,-0.0002143238,0.0005128124,6.347655599999999e-10,0.4999855,-0.0,0.4999855,787669545.2727462
3.3,0.1,0.05,-1.925546e-12,4.999859,-0.0003243458,-9.289193e-05,-6.3543018e-12,0.4999859,-1.1572693499999999e-05,0.4999743273065,0.0
5.0,0.1,0.0,4.916946e-12,4.999862,-8.465145e-05,0.0007545052,2.4584729999999998e-11,0.49998620000000005,-0.0,0.49998620000000005,20337266262.43201
5.0,0.1,0.05,2.393754e-11,4.999869,-0.0007355397,0.0007202713,1.196877e-10,0.49998690000000007,-7.279055e-05,0.4999141094500001,4176821088.967372
12.0,0.1,0.0,-5.926735e-11,4.99985,-0.0004500992,0.0005182934,-7.112082e-10,0.49998500000000007,-0.0,0.49998500000000007,0.0
12.0,0.1,0.05,3.446018e-10,4.999861,-0.001054407,0.000164487,4.1352216e-09,0.49998610000000004,-6.0944700000000006e-05,0.49992515530000003,120894405.10273986
