vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,6.413222e-10,4.999874,0.0004677767,3.302876,2.11636326e-09,0.4999874,-0.0,0.4999874,236248383.9376422
3.3,0.1,0.05,-0.05000068,4.999877,0.0004067328,3.313801,-0.165002244,0.4999877,-0.16566971336000003,0.33431798663999995,0.0
5.0,0.1,0.0,-0.05000061,4.999877,0.000526923,5.000437,-0.25000305,0.4999877,-0.0,0.4999877,0.0
5.0,0.1,0.05,-1.010237e-07,4.999869,0.0002312079,5.000341,-5.051185e-07,0.49998690000000007,-0.250005489605,0.24998141039500005,0.0
12.0,0.1,0.0,-1.969088e-07,4.99988,0.0002015459,5.002801,-2.3629056e-06,0.49998800000000004,-0.0,0.49998800000000004,0.0
12.0,0.1,0.05,0.1901252,4.999874,0.001430606,11.94913,2.2815024,0.4999874,-0.5973849697000001,-0.09739756970000008,-0.04269010179432644
