vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,3.953069e-10,4.999863,0.0001159112,0.0001760305,1.30451277e-09,0.49998630000000005,-0.0,0.49998630000000005,383274362.27396995
3.3,0.1,0.05,1.856858e-10,4.999862,7.030934e-05,0.0002523485,6.1276314e-10,0.49998620000000005,-9.101958e-06,0.499977098042,815938599.1167811
5.0,0.1,0.0,4.627888e-11,4.999881,-0.000348094,0.0004185936,2.313944e-10,0.49998810000000005,-0.0,0.49998810000000005,2160761453.172592
5.0,0.1,0.05,8.59934e-11,4.999856,0.0003074504,0.0004759033,4.29967e-10,0.49998560000000003,-8.422645000000001e-06,0.499977177355,1162826861.956848
12.0,0.1,0.0,-1.353915e-11,4.999871,0.0001288765,0.0007471998,-1.624698e-10,0.4999871,-0.0,0.4999871,0.0
12.0,0.1,0.05,4.457378e-10,4.999859,2.147913e-07,-0.000122521,5.3488536e-09,0.4999859,6.136789565e-06,0.499992036789565,93476485.65097481
