vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,3.671357e-10,4.999862,0.0005710955,0.0006260531,1.21154781e-09,0.49998620000000005,-0.0,0.49998620000000005,412683837.8751228
3.3,0.1,0.05,8.81593e-12,4.999864,6.363418e-05,0.0006765598,2.9092568999999996e-11,0.4999864,-3.0646281e-05,0.499955753719,17184998468.81862
5.0,0.1,0.0,6.98814e-11,4.999861,0.0004854378,-0.0001966253,3.49407e-10,0.49998610000000004,0.0,0.49998610000000004,1430956162.8702345
5.0,0.1,0.05,1.409975e-10,4.999863,0.0008834358,-0.0004389357,7.049875000000001e-10,0.49998630000000005,6.6118575e-05,0.500052418575,709306787.1061543
12.0,0.1,0.0,2.317314e-10,4.999871,0.0006639504,-0.0003695442,2.7807768e-09,0.4999871,0.0,0.4999871,179801233.95736042
12.0,0.1,0.05,4.913958e-10,4.999865,0.000669517,-7.137952e-05,5.896749599999999e-09,0.4999865,3.7044826e-05,0.500023544826,84796469.02863233
