vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,2.110059e-10,4.999872,0.001439548,0.001548801,6.963194699999999e-10,0.4999872,-0.0,0.4999872,718042825.9459699
3.3,0.1,0.05,1.654795e-10,4.999876,0.001936522,0.002624759,5.4608235e-10,0.4999876000000001,-3.441185e-05,0.49995318815000006,915527096.1421846
5.0,0.1,0.0,-1.098533e-10,4.999881,0.003986362,0.00351976,-5.492665e-10,0.49998810000000005,0.0,0.49998810000000005,0.0
5.0,0.1,0.05,-8.46822e-12,4.999876,0.001167823,0.002294376,-4.2341099999999995e-11,0.4999876000000001,-5.632765e-05,0.49993127235000007,0.0
12.0,0.1,0.0,7.71365e-11,4.999879,2.60019e-05,0.002183039,9.25638e-10,0.49998790000000004,-0.0,0.49998790000000004,540154898.5672585
12.0,0.1,0.05,-1.319349e-10,4.999872,0.002182071,0.001954241,-1.5832187999999999e-09,0.4999872,1.1391500000000003e-05,0.49999859150000003,0.0
