vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.091454e-05,4.999855,2.76748,3.300366,3.6017982e-05,0.4999855,-0.0,0.4999855,1.2
3.3,0.1,0.05,1.758454e-05,4.999867,3.300063,3.300082,5.8028982e-05,0.4999867,-9.499999999995623e-07,0.49998575,1.2
4.0,0.1,0.0,1.522269e-05,4.999861,4.000185,3.999651,6.089076e-05,0.49998610000000004,0.0,0.49998610000000004,1.2
4.0,0.1,0.05,0.0001050011,4.99987,3.999868,3.999895,0.0004200044,0.49998699999999996,-1.3499999999888602e-06,0.49998564999999995,1.2
5.0,0.1,0.0,2.729326e-05,4.99987,4.681537,4.701886,0.00013646629999999998,0.49998699999999996,-0.0,0.49998699999999996,1.2
5.0,0.1,0.05,2.429657e-05,4.999861,5.000357,5.000284,0.00012148284999999999,0.49998610000000004,3.6500000000216914e-06,0.49998975000000007,1.2
