vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.29333e-10,4.999871,0.0002891308,0.0005765617,4.2679890000000003e-10,0.4999871,-0.0,0.4999871,1171481697.8206832
3.3,0.1,0.05,2.386396e-10,4.999863,2.920464e-05,0.0002010679,7.875106799999999e-10,0.49998630000000005,-8.593163000000001e-06,0.49997770683700005,634883715.9097323
5.0,0.1,0.0,3.177122e-11,4.999868,-0.0003209072,0.0005577235,1.5885609999999998e-10,0.49998680000000006,-0.0,0.49998680000000006,3147419582.880356
5.0,0.1,0.05,1.986593e-10,4.999858,-0.0001097258,0.0003698753,9.932965e-10,0.4999858,-2.3980055e-05,0.499961819945,503335932.36762637
12.0,0.1,0.0,3.399721e-11,4.999869,0.000718359,0.0002960867,4.0796652e-10,0.49998690000000007,0.0,0.49998690000000007,1225558656.1367831
12.0,0.1,0.05,3.286297e-10,4.999868,0.0002647128,0.0006137391,3.9435564e-09,0.49998680000000006,-1.7451315e-05,0.49996934868500004,126781335.92434485
