vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.11438e-05,4.99987,2.746091,3.300367,3.677454e-05,0.49998699999999996,-0.0,0.49998699999999996,1.2
3.3,0.1,0.05,2.123183e-05,4.999878,3.300048,3.300064,7.0065039e-05,0.4999878,-8.000000000008001e-07,0.49998699999999996,1.2
4.0,0.1,0.0,1.855066e-05,4.999874,3.98736,4.000008,7.420264e-05,0.4999874,-0.0,0.4999874,1.2
4.0,0.1,0.05,5.190929e-05,4.999876,4.000237,3.999522,0.00020763716,0.4999876000000001,3.5750000000023265e-05,0.5000233500000001,1.2
5.0,0.1,0.0,3.112423e-05,4.999866,4.459523,4.482831,0.00015562115,0.4999866,-0.0,0.4999866,1.2
5.0,0.1,0.05,2.126524e-05,4.999867,5.00037,5.000213,0.0001063262,0.4999867,7.850000000031443e-06,0.49999455000000004,1.2
