vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,6.235203e-12,4.999877,0.0002570445,0.0002414899,2.0576169899999997e-11,0.4999877,0.0,0.4999877,24299357092.69197
3.3,0.1,0.05,1.760816e-10,4.999877,0.0003616566,0.0005851552,5.810692799999999e-10,0.4999877,-1.1174930000000002e-05,0.49997652506999996,860442192.1427338
5.0,0.1,0.0,1.674255e-10,4.99987,0.000351709,-0.0006577965,8.371275e-10,0.49998699999999996,0.0,0.49998699999999996,597265052.2172548
5.0,0.1,0.05,1.200031e-10,4.999865,0.0004997913,-0.0005946851,6.000155e-10,0.4999865,5.472382e-05,0.50004122382,833380510.7034736
12.0,0.1,0.0,3.203893e-10,4.999872,0.0008535383,-0.0003486466,3.8446716e-09,0.4999872,0.0,0.4999872,130046789.95209889
12.0,0.1,0.05,5.120415e-10,4.999856,0.0007702088,-0.0007537717,6.144498e-09,0.49998560000000003,7.6199025e-05,0.500061799025,81383670.240433
