vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,6.796319e-11,4.999866,-0.0002947568,9.527809e-05,2.2427852699999998e-10,0.4999866,-0.0,0.4999866,2229311056.604184
3.3,0.1,0.05,1.928073e-10,4.999866,0.0003581063,-0.0001897941,6.3626409e-10,0.4999866,2.739502e-05,0.50001399502,785859209.8447675
5.0,0.1,0.0,4.645956e-11,4.99987,-0.0002359805,0.0005100702,2.3229779999999999e-10,0.49998699999999996,-0.0,0.49998699999999996,2152353573.7316494
5.0,0.1,0.05,4.331388e-11,4.99987,-0.0006099696,0.0004733468,2.165694e-10,0.49998699999999996,-5.416582000000001e-05,0.49993283417999995,2308418613.987017
12.0,0.1,0.0,-6.685643e-12,4.999876,-0.000356906,0.0004350454,-8.0227716e-11,0.4999876000000001,-0.0,0.4999876000000001,0.0
12.0,0.1,0.05,3.0624e-10,4.999867,-0.0006921543,0.0003386694,3.6748800000000004e-09,0.4999867,-5.1541185e-05,0.499935158815,136041220.07113156
