vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,8.875427e-06,4.999844,2.742291,3.300377,2.92889091e-05,0.49998440000000005,-0.0,0.49998440000000005,17070.775777032955
3.3,0.1,0.05,2.066796e-05,4.999857,3.300062,3.300071,6.8204268e-05,0.4999857000000001,-4.4999999999628675e-07,0.4999852500000001,7330.703263320707
5.0,0.1,0.0,1.790037e-05,4.999857,4.001489,4.022797,8.950185e-05,0.4999857000000001,-0.0,0.4999857000000001,5586.316930879083
5.0,0.1,0.05,0.0003825284,4.999846,4.999959,4.999989,0.001912642,0.4999846,-1.5000000000320314e-06,0.49998309999999996,261.40966265511264
12.0,0.1,0.0,0.0003499078,4.999865,5.738061,7.592143,0.0041988936,0.4999865,-0.0,0.4999865,119.07577272260484
12.0,0.1,0.05,0.4998222,4.999865,9.748618,9.75454,5.9978663999999995,0.4999865,-0.0002960999999999992,0.4996904,0.0833113588525413
