vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,2.241638e-05,4.999856,2.939489,3.300335,7.3974054e-05,0.49998560000000003,-0.0,0.49998560000000003,1.2
3.3,0.1,0.05,1.584585e-05,4.999871,3.300081,3.300102,5.2291305e-05,0.4999871,-1.0499999999913356e-06,0.49998605,1.2
4.0,0.1,0.0,1.372961e-05,4.99985,3.999917,4.000077,5.491844e-05,0.49998500000000007,-0.0,0.49998500000000007,1.2
4.0,0.1,0.05,0.0001050012,4.999861,3.999873,3.999902,0.0004200048,0.49998610000000004,-1.450000000002838e-06,0.49998465000000003,1.2
5.0,0.1,0.0,2.568788e-05,4.999866,4.698766,4.718245,0.0001284394,0.4999866,-0.0,0.4999866,1.2
5.0,0.1,0.05,2.644205e-05,4.999859,5.000369,5.000223,0.00013221025,0.4999859,7.299999999998975e-06,0.49999319999999997,1.2
