vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.256037e-10,4.999856,-0.0003249342,0.0003113298,4.1449221e-10,0.49998560000000003,-0.0,0.49998560000000003,1206260547.0920672
3.3,0.1,0.05,6.695881e-11,4.999869,-0.000169609,-8.392203e-05,2.20964073e-10,0.49998690000000007,-4.284348500000001e-06,0.49998261565150004,2262732619.214075
5.0,0.1,0.0,-2.456685e-11,4.999865,4.891239e-05,0.000633864,-1.2283425e-10,0.4999865,-0.0,0.4999865,0.0
5.0,0.1,0.05,2.506913e-10,4.999869,0.0002849295,-0.0001727335,1.2534565e-09,0.49998690000000007,2.288315e-05,0.5000097831500001,398904775.03607035
12.0,0.1,0.0,-6.072445e-13,4.999874,0.0002289452,0.0008719242,-7.286934e-12,0.4999874,-0.0,0.4999874,0.0
12.0,0.1,0.05,4.020617e-10,4.999865,2.105508e-05,0.0001847161,4.8247404e-09,0.4999865,-8.183051e-06,0.499978316949,103628024.61848517
