vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.098415e-05,4.999857,2.756956,3.300369,3.6247695e-05,0.4999857000000001,-0.0,0.4999857000000001,1.2
3.3,0.1,0.05,1.838862e-05,4.999874,3.300065,3.30007,6.0682446e-05,0.4999874,-2.4999999999053556e-07,0.49998715000000005,1.2
4.0,0.1,0.0,1.586023e-05,4.999854,3.999111,3.999802,6.344092e-05,0.4999854,-0.0,0.4999854,1.2
4.0,0.1,0.05,0.000105001,4.999868,3.999863,3.999889,0.000420004,0.49998680000000006,-1.3000000000040758e-06,0.4999855000000001,1.2
5.0,0.1,0.0,2.729474e-05,4.999863,4.685809,4.707149,0.00013647370000000001,0.49998630000000005,-0.0,0.49998630000000005,1.2
5.0,0.1,0.05,2.266611e-05,4.999861,5.000358,5.000311,0.00011333055,0.49998610000000004,2.350000000017616e-06,0.4999884500000001,1.2
