vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,2.434307e-10,4.999844,0.0006065183,0.0003973501,8.0332131e-10,0.49998440000000005,0.0,0.49998440000000005,622396535.2045747
3.3,0.1,0.05,3.048244e-10,4.999861,0.0006260667,0.0001283902,1.00592052e-09,0.49998610000000004,2.4883825000000002e-05,0.5000109838250001,497068082.30236727
5.0,0.1,0.0,3.538569e-10,4.999866,0.0007217907,0.0003246177,1.7692845000000001e-09,0.4999866,0.0,0.4999866,282592539.52657133
5.0,0.1,0.05,1.783622e-10,4.999864,0.0004967686,-0.0001690453,8.91811e-10,0.4999864,3.3290695e-05,0.500019690695,560678989.9373298
12.0,0.1,0.0,2.377189e-10,4.999866,0.0009181598,-0.000670978,2.8526268e-09,0.4999866,0.0,0.4999866,175272348.98024514
12.0,0.1,0.05,5.106954e-10,4.999846,0.00052155,9.449167e-05,6.1283447999999994e-09,0.4999846,2.13529165e-05,0.5000059529165,81589070.0073697
