vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,1.086633e-05,4.999856,2.76287,3.300364,3.5858889e-05,0.49998560000000003,-0.0,0.49998560000000003,1.2
3.3,0.1,0.05,1.806066e-05,4.999868,3.300064,3.300085,5.960017799999999e-05,0.49998680000000006,-1.0500000000135401e-06,0.49998575000000006,1.2
4.0,0.1,0.0,1.556648e-05,4.999856,3.999141,3.999739,6.226592e-05,0.49998560000000003,-0.0,0.49998560000000003,1.2
4.0,0.1,0.05,0.000105001,4.99987,3.999858,3.999879,0.000420004,0.49998699999999996,-1.0499999999913356e-06,0.49998594999999996,1.2
5.0,0.1,0.0,2.722677e-05,4.999875,4.685406,4.706503,0.00013613385,0.49998750000000003,-0.0,0.49998750000000003,1.2
5.0,0.1,0.05,2.313012e-05,4.999868,5.000351,5.000222,0.0001156506,0.49998680000000006,6.45000000001339e-06,0.49999325000000006,1.2
