vin,i_ch1,i23,iin,v1,v2,v3,p_in,p_ch1,p_x,p_out,efficiency
3.3,0.1,0.0,2.34725e-10,4.999862,0.000342675,0.0006182078,7.745924999999999e-10,0.49998620000000005,-0.0,0.49998620000000005,645482882.935221
3.3,0.1,0.05,1.182909e-11,4.999875,-0.0005911173,0.0002689471,3.9035997e-11,0.49998750000000003,-4.300322e-05,0.49994449678,12807268552.152006
5.0,0.1,0.0,4.489719e-11,4.999878,-0.0001131269,0.0002358199,2.2448595000000002e-10,0.4999878,-0.0,0.4999878,2227256538.7722483
5.0,0.1,0.05,2.404218e-11,4.999861,-0.0002095579,-7.914374e-05,1.202109e-10,0.49998610000000004,-6.520708000000001e-06,0.49997957929200004,4159186723.433566
12.0,0.1,0.0,4.919575e-11,4.999852,0.0008020979,3.685655e-05,5.90349e-10,0.4999852,0.0,0.4999852,846931560.8224965
12.0,0.1,0.05,3.837239e-10,4.99987,-5.861209e-05,0.0004356039,4.6046868e-09,0.49998699999999996,-2.47107995e-05,0.49996228920049995,108576828.54792643
